19-10-2023 12:21:25.542 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 16628 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 13:42:28.777 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 13:42:28.779 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:42:28.780 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 13:42:28.781 [http-nio-8080-exec-4] INFO  c.e.demo.service.DroneServiceImpl.createMedication - create new medication ...
19-10-2023 13:42:28.786 [http-nio-8080-exec-4] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 13:42:46.710 [http-nio-8080-exec-5] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 13:42:46.711 [http-nio-8080-exec-5] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 13:45:53.124 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.uploadDrugImage - uploading the image
19-10-2023 13:45:53.219 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.uploadDrugImage - image uploaded successfully:  
19-10-2023 13:46:40.849 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 13:46:40.850 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 14:06:12.391 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 20080 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 14:06:12.400 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 14:06:18.343 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.726 seconds (process running for 7.807)
19-10-2023 14:06:57.364 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 14:06:57.365 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 14:06:57.366 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 14:06:57.366 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 14:06:57.366 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 14:06:57.366 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 15:06:16.732 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 1428 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:06:16.763 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 15:06:22.697 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.669 seconds (process running for 7.724)
19-10-2023 15:06:31.375 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug name have only - letters, numbers, '-', '_'
19-10-2023 15:06:31.375 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - Check if drug code contains - upper case letters, underscore and numbers
19-10-2023 15:06:31.376 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 15:06:31.376 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug name must have only - letters, numbers, '-', '_'
19-10-2023 15:06:31.377 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - drug code must contain only - upper case letters, underscore and numbers
19-10-2023 15:06:31.377 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.createMedication - ------------------------------------------------------------------
19-10-2023 15:06:31.381 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.createMedication - New medication successfully created ...
19-10-2023 15:07:16.531 [http-nio-8080-exec-3] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 15:07:16.532 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
19-10-2023 15:33:57.712 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 18512 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 15:33:57.737 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 15:34:04.118 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 7.185 seconds (process running for 8.248)
19-10-2023 15:34:10.170 [http-nio-8080-exec-1] INFO  c.e.demo.controller.DroneController.getAllMedications - All medications are listed
19-10-2023 15:34:10.174 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.getAllMedications - Fetch all medications
